year,location,season,rank,team,gold,silver,bronze,total
1968,Mexico City,Summer,13,Italy,3,4,9,16
1968,Mexico City,Summer,14,Kenya,3,4,2,9
1968,Mexico City,Summer,15,Mexico,3,3,3,9
1968,Mexico City,Summer,16,Yugoslavia,3,3,2,8
1968,Mexico City,Summer,17,Netherlands,3,3,1,7
1968,Mexico City,Summer,18,Bulgaria,2,4,3,9
1968,Mexico City,Summer,19,Iran,2,1,2,5
1968,Mexico City,Summer,20,Sweden,2,1,1,4
1968,Grenoble,Winter,1,Norway,6,6,2,14
1968,Grenoble,Winter,2,Soviet Union,5,5,3,13
1968,Grenoble,Winter,3,France,4,3,2,9
1968,Grenoble,Winter,4,Italy,4,0,0,4
1968,Grenoble,Winter,5,Austria,3,4,4,11
1968,Grenoble,Winter,6,Netherlands,3,3,3,9
1968,Grenoble,Winter,7,Sweden,3,2,3,8
1968,Grenoble,Winter,8,West Germany,2,2,3,7
1968,Grenoble,Winter,9,United States,1,5,1,7
1968,Grenoble,Winter,10,East Germany,1,2,2,5
1968,Grenoble,Winter,10,Finland,1,2,2,5
1968,Grenoble,Winter,12,Czechoslovakia,1,2,1,4
1968,Grenoble,Winter,13,Canada,1,1,1,3
1968,Grenoble,Winter,14,Switzerland,0,2,4,6
1968,Grenoble,Winter,15,Romania,0,0,1,1
1964,Tokyo,Summer,1,United States,36,26,28,90
1964,Tokyo,Summer,2,Soviet Union,30,31,35,96
1964,Tokyo,Summer,3,Japan,16,5,8,29
1964,Tokyo,Summer,4,Germany,10,22,18,50
1964,Tokyo,Summer,5,Italy,10,10,7,27
1964,Tokyo,Summer,6,Hungary,10,7,5,22
1964,Tokyo,Summer,7,Poland,7,6,10,23
1964,Tokyo,Summer,8,Australia,6,2,10,18
1964,Tokyo,Summer,9,Czechoslovakia,5,6,3,14
1964,Tokyo,Summer,10,Great Britain,4,12,2,18
1964,Tokyo,Summer,11,Bulgaria,3,5,2,10
1964,Tokyo,Summer,12,Finland,3,0,2,5
1964,Tokyo,Summer,12,New Zealand,3,0,2,5
1964,Tokyo,Summer,14,Romania,2,4,6,12
1964,Tokyo,Summer,15,Netherlands,2,4,4,10
1964,Tokyo,Summer,16,Turkey,2,3,1,6
1964,Tokyo,Summer,17,Sweden,2,2,4,8
1964,Tokyo,Summer,18,Denmark,2,1,3,6
1964,Tokyo,Summer,19,Yugoslavia,2,1,2,5
1964,Tokyo,Summer,20,Belgium,2,0,1,3
1964,Innsbruck,Winter,1,Soviet Union,11,8,6,25
1964,Innsbruck,Winter,2,Austria,4,5,3,12
1964,Innsbruck,Winter,3,Norway,3,6,6,15
1964,Innsbruck,Winter,4,Finland,3,4,3,10
1964,Innsbruck,Winter,5,France,3,4,0,7
1964,Innsbruck,Winter,6,Germany,3,3,3,9
1964,Innsbruck,Winter,7,Sweden,3,3,1,7
1964,Innsbruck,Winter,8,United States,1,2,4,7
1964,Innsbruck,Winter,9,Canada,1,1,1,3
1964,Innsbruck,Winter,10,Netherlands,1,1,0,2
1964,Innsbruck,Winter,11,Great Britain,1,0,0,1
1964,Innsbruck,Winter,12,Italy,0,1,3,4
1964,Innsbruck,Winter,13,North Korea,0,1,0,1
1964,Innsbruck,Winter,14,Czechoslovakia,0,0,1,1
1960,Rome,Summer,1,Soviet Union,43,29,31,103
1960,Rome,Summer,2,United States,34,21,16,71
1960,Rome,Summer,3,Italy,13,10,13,36
1960,Rome,Summer,4,Germany,12,19,11,42
1960,Rome,Summer,5,Australia,8,8,6,22
1960,Rome,Summer,6,Turkey,7,2,0,9
1960,Rome,Summer,7,Hungary,6,8,7,21
1960,Rome,Summer,8,Japan,4,7,7,18
1960,Rome,Summer,9,Poland,4,6,11,21
1960,Rome,Summer,10,Czechoslovakia,3,2,3,8
1960,Rome,Summer,11,Romania,3,1,6,10
1960,Rome,Summer,12,Great Britain,2,6,12,20
1960,Rome,Summer,13,Denmark,2,3,1,6
1960,Rome,Summer,14,New Zealand,2,0,1,3
1960,Rome,Summer,15,Bulgaria,1,3,3,7
1960,Rome,Summer,16,Sweden,1,2,3,6
1960,Rome,Summer,17,Finland,1,1,3,5
1960,Rome,Summer,18,Austria,1,1,0,2
1960,Rome,Summer,18,Yugoslavia,1,1,0,2
1960,Rome,Summer,20,Pakistan,1,0,1,2
1960,Squaw Valley,Winter,1,Soviet Union,7,5,9,21
1960,Squaw Valley,Winter,2,Germany,4,3,1,8
1960,Squaw Valley,Winter,3,United States,3,4,3,10
1960,Squaw Valley,Winter,4,Norway,3,3,0,6
1960,Squaw Valley,Winter,5,Sweden,3,2,2,7
1960,Squaw Valley,Winter,6,Finland,2,3,3,8
1960,Squaw Valley,Winter,7,Canada,2,1,1,4
1960,Squaw Valley,Winter,8,Switzerland,2,0,0,2
1960,Squaw Valley,Winter,9,Austria,1,2,3,6
1960,Squaw Valley,Winter,10,France,1,0,2,3
1960,Squaw Valley,Winter,11,Netherlands,0,1,1,2
1960,Squaw Valley,Winter,12,Poland,0,1,1,2
1960,Squaw Valley,Winter,13,Czechoslovakia,0,1,0,1
1960,Squaw Valley,Winter,14,Italy,0,0,1,1
